Person,Start,End,Frequency
Ajda,1,1,19
Ajda,1,2,5
Ajda,1,3,1
Ajda,1,4,1
Aljaz,1,1,5
Aljaz,1,2,2
Aljaz,1,3,5
Aljaz,1,4,2
Aljaz,1,5,5
Aljaz,1,7,2
Aljaz,1,9,1
Aljaz,1,10,1
Aljaz,1,13,1
Aljaz,1,21,6
Aljaz,6,7,1
Aljaz,6,8,1
Aljaz,6,9,1
Aljaz,11,13,1
Aljaz,16,20,1
Gasper,1,1,2
Gasper,1,2,1
Gasper,1,3,3
Gasper,1,4,3
Gasper,1,5,12
Gasper,1,7,2
Gasper,1,8,1
Gasper,1,9,4
Gasper,1,10,3
Gasper,1,13,2
Gasper,1,14,1
Gasper,1,15,1
Gasper,1,18,1
Gasper,1,20,1
Gasper,1,21,13
Gasper,6,6,1
Gasper,6,7,7
Gasper,6,8,15
Gasper,6,9,3
Gasper,6,10,4
Gasper,6,16,1
Gasper,6,21,1
Gasper,11,11,1
Gasper,11,12,1
Gasper,11,13,1
Gasper,16,18,1
Gloria,1,1,16
Gloria,1,2,1
Gloria,1,3,6
Gloria,1,4,2
Gloria,1,5,3
Gloria,1,6,1
Gloria,1,10,2
Gloria,6,10,2
Gloria,6,12,1
Jernej,1,2,2
Jernej,1,4,1
Jernej,1,5,3
Jernej,1,9,1
Jernej,1,15,1
Jernej,1,21,8
Jernej,6,9,1
Jernej,6,10,3
Jernej,6,16,1
Jernej,6,21,1
Jernej,16,18,1
Jernej,16,21,2
MajaL,1,1,8
MajaL,1,2,1
MajaL,1,3,6
MajaL,1,4,10
MajaL,1,5,24
MajaL,1,7,1
MajaL,6,8,2
MajaL,6,9,3
MajaL,6,10,2
Mark,1,1,14
Mark,1,2,8
Mark,1,3,5
Mark,1,4,5
Mark,1,5,12
Mark,1,9,1
Mark,6,7,1
Mark,6,8,2
Mark,6,9,2
Mark,6,10,1
Masa,1,1,19
Masa,1,2,4
Masa,1,3,8
Masa,1,4,9
Masa,1,5,4
Mirkala,1,1,10
Mirkala,1,2,4
Mirkala,1,3,17
Mirkala,1,4,14
Mirkala,1,5,26
Mirkala,1,6,1
Mirkala,1,7,3
Mirkala,6,6,1
Mirkala,6,8,8
Mirkala,6,9,1
Mitja,1,1,21
Mitja,1,2,7
Mitja,1,3,13
Mitja,1,4,10
Mitja,1,5,10
Mitja,1,9,1
Mitja,6,9,1
Mitja,6,10,5
Mitja,6,15,1
Mitja,11,17,1
Mitja,16,18,2
Mitja,16,20,1
Mitja,16,21,2
Okti,1,1,15
Okti,1,2,7
Okti,1,3,9
Okti,1,4,2
Okti,1,5,12
Okti,1,6,1
Okti,1,7,3
Okti,1,8,1
Okti,1,16,2
Okti,1,19,1
Okti,1,21,1
Okti,6,7,3
Okti,6,8,1
Okti,6,9,1
Okti,6,10,2
Okti,11,13,1
Okti,16,17,1
Rene,1,2,1
Rene,1,3,7
Rene,1,4,1
Rene,1,5,10
Rene,1,6,1
Rene,1,7,1
Rene,1,13,1
Rene,6,8,1
Rene,6,9,1
Rene,6,10,3
Rene,11,11,1
Rene,11,13,1
Rene,11,15,3
Sarah,1,1,3
Sarah,1,2,5
Sarah,1,3,4
Sarah,1,4,3
Sarah,1,5,7
Sarah,1,6,2
Sarah,1,7,4
Sarah,1,8,1
Sarah,1,9,1
Sarah,6,7,2
Sarah,6,8,5
Sarah,6,9,10
Sarah,6,10,11
Taja,1,1,3
Taja,1,2,2
Taja,1,3,3
Taja,1,4,1
Ziga,1,1,7
Ziga,1,2,1
Ziga,1,3,3
Ziga,1,4,7
Ziga,1,5,15
Ziga,1,6,1
Ziga,1,7,2
Ziga,1,19,1
Ziga,1,21,2
Ziga,6,6,1
Ziga,6,8,1
